 ”,w
全团,n
全委,j
全文,n
全息,n
全县,n
全线,n
全香,nr
全乡,n
全校,n
全新,b
全心全意,i
全行,n
全训率,n
全应,nr
全优,z
全有,nr
全员,n
全员性,n
全院,n
全运会,j
全寨,n
全站,n
全镇,n
全忠,nr
全州,n
全资,n
全自动,b
全总,j
全璋,nr
痊愈,v
拳,q,n
拳打脚踢,i
拳击,n
拳脚,n
拳拳之心,i
拳术,n
拳台,j
拳头,n
拳头产品,n
犬儒主义,n
犬牙交错,i
券桥乡,ns
券商,n
劝,v
劝导,vn,v
劝告,v,vn
劝诫,v
劝说,v
劝慰,vn,v
劝业,nz
劝业场,n
劝阻,v,vn
缺,v,n
缺点,n
缺乏,v,vn
缺乏症,n
缺房户,n
缺憾,n
缺斤短两,l
缺斤少两,l
缺斤又短两,l
缺口,n
缺少,v
缺失,n
缺水,v,vn
缺水量,n
缺损,vn
缺席,v
缺陷,n
缺血,v
缺氧,v,vn
缺一不可,i
缺医少药,l
缺阵,v
缺字,n
炔雌醚,n
炔诺酮,n
瘸,v
却,d,Vg
却说,v
却西,nr
确,d,nr
确保,v,d
确定,v,a
确乎,d
确立,v,vn
确切,a
确确实实,z
确认,v,vn
确实,a,ad
确信,v
确凿,a
确诊,v
雀,Ng
雀巢,nz
雀跃,v
裙,Ng
裙带关系,l
群,Ng,q,nr
群策群力,i
群岛,n]ns,n
群雕,n
群发,v
群芳,n
群芳争艳,l
群防群治,l
群峰,n
群工,j
群华,nr
群居,v
群力,nr
群龙无首,i
群落,n
群起,d
群情,n
群群,q
群山,n
群体,n
群旺,nr
群贤毕至,i
群星,n
群星荟萃,l
群雄,n
群雄逐鹿,l
群燕,n
群英会,n
群英谱,n
群众,n
群众性,n
群众运动,l
群众组织,l
然,r,c,nr
然而,c
然峰,nr
然后,c
然毅,nr
燃,Vg
燃爆,v
燃放,vn,v
燃放点,n
燃料,n
燃料油,n
燃眉之急,i
燃起,v
燃器具,n
燃气,n
燃烧,v,vn
燃烧器,n
燃油,n
冉,nr
冉冉,d
染,v
染毒,vn
染发,v
染发剂,n
染料,n
染色体,n
染上,v
瓤子,n
嚷,v
嚷嚷,v
让,v
让·梅泰·亚彭德,nr
让·米奥,nr
让·雅克·莫里斯,nr
让步,vn,v
让出,v
让道,v
让给,v
让利,v
让路,v
让水,nr
让位,v
让行,v
让座,v
饶,nr
饶有,v
饶有兴趣,l
饶有兴致,l
扰动,vn
扰乱,v
扰民,v,vn
绕,v
绕道,v
绕梁,v
绕行,v
绕组,n
惹,v
热,a,n,v,j
热爱,v,vn
热病,n
热茶,n
热潮,n
热忱,a,an,ad
热诚,an,ad
热带,n
热带雨林,n
热点,n
热电厂,n]nt,n
热镀锌,n
热度,n
热风,n
热风炉,n
热狗,n
热呼呼,z
热乎乎,z
热火朝天,i
热炕,n
热科院,j
热浪,n
热泪,n
热泪盈眶,l
热力,n]nt,n
热连轧,j]nt
热量,n
热烈,a,ad,an
热流,n
热络,v
热门,an,a
热敏,nz
热闹,a,an
热闹非凡,l
热农大,j
热气,n
热气球,n
热气腾腾,i
热切,ad
热情,an,a,ad
热情洋溢,l
热区,n
热热闹闹,z
热身,vn
热身赛,l
热水,n
热水瓶,n
热水器,n
热汤面,n
热腾腾,z
热土,n
热瓦甫,nr
热望,vn
热线,n
热销,v,vn
热心,ad,a,v,an
热心肠,n
热心人,n
热学,n
热血,n
热涨,v
热衷,v,vn
热转印,l
仁,nr
仁安,nr
仁宝,nr
仁碧,nr
仁臣,nr
仁川,ns
仁达,nr
仁道,nr
仁德,nr
仁贵,nr
仁杰,nr
仁俊,nr
仁霖,nr
仁明,nr
仁青安杰,nr
仁琼,nr
仁泉,nr
仁人志士,l
仁生,nr
仁学,n
仁以恤民,l
仁盈,nr
仁宇,nr
仁中,nr
人,n
人保,j
人本,n
人本精神,n
人才,n
人才辈出,i
人才济济,i
人才库,n
人财物,j
人参,n
人称,n
人次,q,n
人大,j,j]nt
人大代表,n
人代会,j,j]nt
人道,n
人道主义,n
人丁,n
人儿,n
人犯,n
人防,n
人浮于事,i
人格,n
人工,b,d,n
人工流产,l
人海,n
人化,vn
人机,n
人迹,n
人迹罕至,i
人际,n
人际关系,n
人家,r,n
人间,n
人健,nr
人杰地灵,i
人均,j
人均收入,n
人俊,nr
人孔,n
人口,n
人口报,n
人口数,n
人来人往,i
人类,n
人类学,n
人力,n
人林,nr
人流,n
人流量,n
人伦,n
人马,n
人满为患,i
人们,n
人民,n
人民报,n
人民币,n
人民代表,n
人民党,n,n]nt
人民法院,l,l]nt
人民公社,l
人民警察,l
人民军,n,n]nt
人民路,ns
人民日报,nz
人民日报社,nt
人民团体,l
人民性,n
人民战争,n
人民政府,l,l]nt
人名,n
人母,n
人脑,n
人品,n
人情,n
人情电,n
人情关,n
人情债,n
人庆,nr
人权,n
人权会,n
人权学,n
人群,n
人人,n
人山人海,i
人身,n
人身险,n
人声,n
人声鼎沸,i
人生,n,nr
人生观,n
人生路,n
人生在勤,l
人生在世,i
人士,n
人世,n
人事,n
人事部,nt
人事部门,n
人事处,n
人事局,n]nt,n
人事权,n
人氏,n
人手,n
人寿,n
人寿保险,n
人数,n
人所共知,i
人体,n
人头,n
人头攒动,l
人为,b,d,nr
人文,n
人文科学,n
人文主义,n
人武,j
人武部,n
人物,n
人物画,n
人物奖,n
人物史,n
人像,n
人心,n
人心惶惶,i
人心思变,l
人心所向,i
人心悦诚服,i
人形,n
人行道,n
人行横道,n
人性,n
人性化,vn
人选,n
人学,n
人烟稀少,l
人艺,j]nt
人意,n
人影,n
人语,n
人员,n
人缘,n
人愿,n
人云亦云,i
人造,b
人造板,n
人造卫星,n
人证,n
人质,n
人治,n
人中,n
忍,v
忍不住,v
忍俊不禁,i
忍耐,v
忍耐力,n
忍受,v,vn
忍痛,d
忍痛割爱,i
忍心,v
忍之,nr
韧劲,n
任,q,v,nr,c,Ng
任何,r
任何人,r
任家村,ns
任教,v
任课,vn
任劳任怨,i
任命,v,vn
任内,s
任期,n
任其自然,i
任穷,nr
任人唯亲,i
任文,nr
任务,n
任性,a
任意,d,b
任意球,n
任用,v,vn
任由,v
任职,v,vn
任重道远,i
任重而道远,i
认,v
认出,v
认错,v
认定,vn,v
认定书,n
认购,v
认捐,vn
认可,v,vn
认清,v
认认真真,z
认识,v,vn,n
认识论,n
认输,v
认同,vn,v
认同感,n
认为,v
认真,a,ad
认证,vn,v
认证书,n
认知,vn
认罪,v
刃,Ng
刃片,n
妊娠,vn
扔,v
扔下,v
仍,d
仍旧,d
仍然,d
日,j,q,Ng,nr
日Ｋ线图,n
日薄西山,i
日报,n
日报社,n]nt
日本,ns
日本队,nt
日本海,ns
日查,nr
日产,v,vn
日产量,n
日常,b
日常生活型,n
日程,n
日程表,n
日出,v
日出而作,i
日短日稀,l
日方,n
日飞,nr
日丰,a
日复一日,i
日高峰,n
日光,n,nr
日光棚,n
日后,t
日化,j
日积月累,i
日记,n
日记本,n
日见,d
日渐,d
日进斗金,i
日经,j
日经指数,n
日均,j
日军,n
日喀则,ns
日寇,n
日历,n
日利率,n
日立,nz
日隆,v
日落,v
日内,t
日内瓦,ns
日期,n
日前,t
日切村,ns
日趋,d
日全食,n
日日,q
日日夜夜,i
日入而息,l
日晒,v
日晒雨淋,i
日升昌,nz
日食,n
日文,nz
日显,v
日晓,nr
日新,nr
日新月异,i
日需求量,n
日夜,d,n
日夜兼程,l
日益,d
日用,n,b
日用品,n
日元,n,q
日源,nr
日月,n
日月如梭,i
日月星辰,n
日增,v
日照,ns,n
日照市,ns
日照县,ns
日臻成熟,l
日臻完善,i
日志,n
日子,n
戎,nr
戎发,nz
戎梅,nr
戎霄,nr
戎衣,n
戎装,n
蓉城,ns
蓉花山镇,ns
蓉蓉,nr
蓉园,n
荣,Ag,nr
荣宝,nr
荣宝斋,nz
荣昌,nr
荣成市,ns
荣春,nr
荣德,nr
荣登,v
荣典,nr
荣范,nr
荣福,nr
荣根,nr
荣贵,nr
荣国,nr
荣汉,nr
荣华,nr
荣华富贵,i
荣桓,nr
荣辉,nr
荣惠,nr
荣获,v
荣驾,nr
荣健,nr
荣景,nr
荣久,nr
荣娟,nr
荣礼,nr
荣立,v
荣梁,nr
荣林,nr
荣茂,nr
荣辱,n
荣生,nr
荣顺,nr
荣棠,nr
荣欣,nr
荣幸,a,an
荣轩,nr
荣耀,a,an
荣友,nr
荣誉,n
荣誉感,n
荣誉奖,n
荣誉室,n
荣元,nr
荣垣,nr
荣臻,nr
荣芝,nr
荣志,nr
荣膺,v
荣恪,nr
融,v
融合,v,vn
融化,v
融会,v
融会贯通,i
融洽,v,vn,a
融融,z
融入,v,vn
融通,vn
融为一体,l
融注,v
融资,vn,v
融资额,n
融资券,n
熔,v
熔断器,n
熔炼,v
熔炉,n
熔融,v
熔铸,v
溶洞,n
溶化,v
溶剂,n
溶解,v
溶溶,z
溶雪剂,n
溶血磷脂乙醇胺,nz
容,v,Ng,nr
容错,b
容错性,n
容量,n
容貌,n
容纳,v
容器,n
容忍,v
容身,v
容声,nz
容许,v
容颜,n
容易,a,ad
绒布,n
冗员,n
冗杂,a
揉,v
柔,a
柔波,n
柔道,n
柔芬,nr
柔和,a
柔曼,a
柔美,a
柔情,n
柔情似水,l
柔柔地,z
柔软,an
柔弱,a
柔术,n
柔顺,a
柔性,n
肉,n
肉店,n
肉鸽,n
肉鸡,n
肉类,n
肉联厂,n,n]nt
肉瘤,n
肉麻,a
肉牛,n
肉品,n
肉色,n
肉食,n
肉丝,n
肉丝面,n
肉馅,n
肉眼,n
肉样,n
肉质,n
肉猪,n
肉孜节,t
肉孜坦木·米纳苏夫,nr
肉孜吾守尔,nr
茹,nr
茹克叶·穆罕默德,nr
茹毛饮血,i
儒,Ng
儒家,n
儒将,n
儒教,nz
儒尼奥尔,nr
儒释道兵,j
儒庭,nr
儒雅,z
如,v,c
如兵,nr
如常,v
如痴如狂,l
如痴如醉,i
如春,v
如此,r
如此一来,l
如此这般,l
如法炮制,i
如故,v
如广,nr
如果,c
如何,r
如虎添翼,i
如火如荼,i
如饥似渴,i
如江,nr
如今,t
如镜,nr
如钧,nr
如来佛,nr
如雷贯耳,i
如雷似火,l
如亮,nr
如林,z
如临深渊,i
如梦令,nz
如期,d
如泣如诉,i
如前所述,l
如人,nr
如日中天,i
如若,c
如山,nr
如上所述,c
如诗如画,l
如实,vd,v
如是说,l
如数,d
如数家珍,i
如梭,v
如同,v
如为,nr
如下,v,vn
如心,nr
如学,nr
如意,n,an
如愿,v
如愿以偿,i
如约,d
如月,nr
如云,z
如曾,nr
如醉如狂,i
如坐针毡,i
如沐薰风,l
如昱,nr
辱,Ng
辱骂,vn
辱没门庭,l
乳白色,n
乳粉,n
乳化,v
乳胶厂,n]nt
乳酪,n
乳名,n
乳品,n
乳品厂,n]nt
乳酸,n
乳透,vn
乳腺癌,n
乳燕营巢,i
乳业,n
乳汁,n
乳制品,n
汝,nr
汝华,nr
汝吉,nr
汝林,nr
汝勤,nr
汝清,nr
汝堂,nr
汝阳县,ns
汝蘅,nr
汝岱,nr
汝琦,nr
入,v
入场,v
入场券,n
入党,vn,v
入冬,v
入阁,v
入股,v
入海口,n
入户,v
入会,vn,v
入境,v,vn
入境案,n
入境者,n
入口,n
入口处,n
入库,v
入门,v
入盟,v
入梦,v
入木三分,i
入侵,v,vn
入侵者,n
入秋,v,t
入时,a
入市,v
入室,v
入室弟子,n
入手,v
入睡,v
入托,v
入网,v
入围,v
入围奖,n
入伍,v,vn
入乡随俗,i
入选,vn,v
入选者,n
入学,vn,v
入学率,n
入夜,v
入狱,v
入院,vn,v
入账,v
入住,v
软,a
软化,v
软环境,n
软件,n
软禁,v
软科学,n
软绵绵,z
软弱,a
软型,b
软硬件,j
软着陆,l
软组织,n
软座,n
阮,nr
阮氏,nr
蕊,Ng,nr
瑞,Ag,nr,j
瑞典,ns
瑞典队,nt
瑞芳,nr
瑞甫,nr
瑞红,nr
瑞华,nr
瑞环,nr
瑞娟,nr
瑞康,nr
瑞科,nr
瑞郎,j
瑞丽,ns
瑞丽姐告镇,ns
瑞丽市,ns
瑞林,nr
瑞气,n
瑞清,nr
瑞球,nr
瑞仁,nr
瑞荣,nr
瑞容,nr
瑞士,ns
瑞士队,nt
瑞士曼,nz
瑞士制,n
瑞同,nr
瑞祥,nr
瑞兴,nz
瑞雪,n
瑞雪兆丰年,i
瑞英,nr
瑞云,nr
瑞璞,nr
瑞蚨祥,nz
瑞麟,nr
锐,Ag,nr
锐步,nz
锐减,v,vn
锐利,a
锐气,n
锐意,d
润,v
润笔,n
润达,nr
润滑剂,n
润莲,nr
润培,nr
润秋,nr
润润,v
润色,v
润胜,nr
润湿性,n
润五,nr
润物细无声,l
润霞,nr
润泽,v
若,v,c
若尔盖,ns
若凡,nr
若干,m
若果,c
若虹,nr
若木,nr
若秋,nr
若珊,nr
若石,nr
若是,c
若斯潘,nr
若要人不知,l
若隐若现,i
若愚,nr
若原,nr
若瑜,nr
若暾,nr
弱,a
弱币,n
弱点,n
弱化,v
弱冷空气,n
弱肉强食,i
弱势,n
弱项,n
弱小,a
弱者,n
弱智,b
撒,v
撒播,v
撒放,vn,v
撒哈拉,ns
撒谎,v
撒娇,v
撒克逊,nz
撒拉族,nz
撒落,v
撒切尔,nr
撒手人寰,l
洒,v
洒遍,v
洒落,v
洒满,v
洒水机,n
洒脱,a
萨,nr
萨阿东·哈马迪,nr
萨达姆,nr
萨达姆·侯赛因,nr
萨尔图区,ns
萨尔瓦多,ns
萨尔瓦多·达利,nr
萨尔瓦多市,ns
萨尔瓦区,ns
萨格勒布,ns
萨哈夫,nr
萨吉德,ns
萨里赫,nr
萨利赫,nr
萨利姆,nr
萨隆·平拉,nr
萨马兰奇,nr
萨米·托马斯,nr
萨米尔·穆塔韦,nr
萨米亚,nr
萨米亚·侯赛因,nr
萨摩亚,ns
萨摩亚独立国,ns
萨默斯,nr
萨姆·姆帕苏,nr
萨奇,nr
萨沙,nr
萨维,nr
萨维茨卡亚,nr
萨乌丁,nr
萨希杜·丹戈—纳代伊,nr
腮,n
腮壳,n
鳃裂,n
塞,v,nr
塞北,s,ns
塞迪略,nr
塞恩斯伯里,ns
塞尔登,nr
塞尔帕,nr
塞夫,nr
塞君,nr
塞拉多斯,nz
塞蒙,nr
塞纳河,ns
塞纳河畔,ns
塞内加尔,ns
塞帕底斯特,nz
塞浦路斯,ns
塞入,v
塞上,s
塞外,s
塞韦林,nr
塞维里诺,nr
塞泽尔,nr
塞族,j
赛,v,vn
赛宝,nz
赛场,n
赛程,n
赛尔杰,nr
赛风,n
赛福·拉赫曼,nr
赛福鼎·艾则孜,nr
赛格,nz
赛红,nr
赛后,t
赛会,n
赛季,n
赛纪,n
赛菊,nr
赛马,v
赛马会,n]nt
赛前,t
赛事,n
赛特,nz
赛艇,n
赛项,n
赛义德·本·穆斯塔法,nr
赛制,n
三,m,nr
三塚,nr
三塚博,nr
三八,t,m
三八六,m
三百,m
三百六十,m
三百六十五,m
三百七十,m
三百三十,m
三百四十九亿,m
三百万,m
三百五十,m
三百五十二,m
三百五十三,m
三百五十万,m
三百五十亿,m
三百一十四,m
三百亿,m
三胞胎,n
三包,j
三宝,n,nr
三北,j
三博,nr
三伯,n
三步并作两步,l
三产,j
三产型,n
三从四德,i
三大战役,nz
三等,b
三等功,n
三等奖,n
三低,j
三点二万,m
三点三万,m
三点五亿,m
三点钟,t
三反,j
三坊七巷,nz
三废,n
三分球,n
三分之二,m
三分之一,m
三丰,nz,nr
三风,j
三伏天,t
三改一加强,j
三纲五常,i
三高,j
三官庙,ns
三光,j
三国,t,nz
三国演义,nz
三国志,nz
三合一,l
三花接骨散,n
三皇五帝,l
三机部,j
三级,b
三缄其口,i
三讲,j
三角,n
三角债,n
三角洲,n,n]ns
三教九流,i
三结合,j
三金奖,n
三晋,j
三九,t,m
三九天,t
三居室,n
三老四严,j
三联,nz
三菱,nz
三令五申,i
三流,b
三六九等,l
三鹿,nz
三轮,n
三轮车,n
三毛,nr,nz
三昧,n
三门,ns
三门峡市,ns
三猛,nr
三明路,ns
三明治,n
三娘,nr
三陪,j
三期,b
三千,m
三千八百,m
三千八百万,m
三千二百,m
三千二百五十亿,m
三千零五十,m
三千万,m
三千一百二十五,m
三秦,ns
三清山,ns
三缺一,l
三热爱,j
三日,t
三三○三,m
三三两两,i
三三制,n
三生,nz
三十,m
三十八,m
三十八九,m
三十二,m
三十分,t
三十几,m
三十九,m
三十六,m
三十日,t
三十三,m
三十三分,t
三十三万,m
三十四,m
三十万,m
三十五,m
三十五万,m
三十一,m
三十一日,t
三时,t
三思而后行,i
三四,m
三四百,m
三四千,m
三四十,m
三四万,m
三天两头,l
三通,j
三同,j
三湾,ns
三万,m
三万四千八百亿,m
三委,j,j]nt
三位一体,l
三五,m
三五百,m
三五成群,l
三五十,m
三西,j
三喜,nr
三峡,ns,ns]ns
三线,j
三湘,j
三星,nz
三星队,nt]nt
三星级,b
三性,j
三学,j
三亚,ns
三亚市,ns
三言两语,i
三沿,j
三洋,nz
三野,j
三一五,m
三亿,m
三优,j
三愿,j
三月,t
三运,nr
三者,r
三志,j
三中全会,j
三庄乡,ns
三资,j
三资企业,n
三子,n
三自,j
三字经,n
三总部,j
三娅,nr
伞,n
伞架,n
伞罩,n
伞状,b
散,v,a,ad
散布,v
散步,v
散发,v
散放,v
散户,n
散伙,v
散货,n
散货船,n
散货轮,n
散记,n
散见,v
散居,v
散客,n
散乱,a
散落,v
散热,v
散射,v
散手,n
散文,n
散文集,n
散文热,n
散文诗,n
散文式,b
散心,v
散之,nr
散装,b
桑,nr,Ng
桑巴舞,n
桑地诺,ns
桑顶·多吉帕姆·德庆曲珍,nr
桑福·威尔,nr
桑戈,nz
桑戈语,nz
桑杰,nr
桑麻,n
桑拿,n
桑拿浴,n
桑佩尔,nr
桑普,nz
桑普多利亚队,nt
桑普拉斯,nr
桑塔纳,nz
桑特,nr
桑余,nr
桑珠,nr
桑梓,n
嗓门,n
嗓音,n
嗓子,n
丧,Vg
丧父,v
丧命,v
丧气,a
丧生,v
丧生者,n
丧失,v,vn
丧事,n
骚动,vn,v
骚乱,vn
骚扰,v
扫,v
扫把,n
扫除,vn,v
扫荡,v,vn
扫地,v
扫黄,vn,v
扫黄办,j]nt,j
扫黄打非,l
扫盲,v
扫描,v,vn
扫描术,n
扫描仪,n
扫尾,vn
扫雪,v
扫帚,n
嫂嫂,n
瑟比娜,nr
瑟蒙德,nr
瑟瑟,z
瑟缩,v
色,Ng
色彩,n
色彩斑斓,i
色彩纷呈,i
色彩缤纷,i
色调,n
色粉,n
色价,n
色情,n
色庆乡,ns
色韵,n
色泽,n
涩谷,ns
森,nr
森工,j
森浩,nr
森吉,nr
森林,nr,n
森木绿,n
森森,z
森严,a
森严壁垒,i
森永,nz
森哲郎,nr
僧侣,n
僧人,n
莎,nr
莎阿代提·哈米提,nr
莎士比亚,nr
砂,n
砂枪,n
砂洗厂,n
砂岩,n
砂纸,n
杀,v
杀出,v
杀出重围,l
杀掉,v
杀光,v
杀害,v
杀机,n
杀价,v
杀灭,v
杀气,n
杀青,v
杀人,vn,v
杀伤,vn
杀伤力,n
杀伤性,n
杀手,n
杀手锏,n
杀死,v
杀头,v
刹,v
刹车,n,v
刹风整纪,l
刹那,t
刹那间,t
刹住,v
沙,n,nr,Ng
沙暴,n
沙场,n
沙发,n
沙赫特,nr
沙化,vn,v
沙皇,n
沙棘,n
沙家浜,ns
沙利卡什维利,nr
沙梁,n
沙龙,nr,n
沙曼,nr
沙曼·维雅吉,nr
沙漠,n]ns,n
沙坪,ns
沙坪坝,ns
沙坪镇,ns
沙埔村,ns
沙丘,n
沙色乡,ns
沙沙,o
沙石,n
沙市区,ns
沙滩,n
沙特,ns
沙特阿拉伯,ns
沙头角,ns
沙头角镇,ns
沙土,n
沙陀,nr
沙湾镇,ns
沙窝集镇,ns
沙溪,ns
沙溪桥,ns
沙箱,n
沙子,n
纱,n
纱布,n
纱锭,n
纱嫂,n
纱帐,n
傻,a
傻干,v
傻笑,v
啥,r
煞,Dg,v,Ag
筛选,vn,v
筛子,n
晒,v
晒谷场,n
晒太阳,v
珊,nr
珊瑚,n
珊瑚滩,n
杉,nr,Ng
杉木,n
杉山绢子,nr
杉树,n
山,n,j,nr
山包,n
山北村,ns
山本未来,nr
山崩地裂,l
山伯,nr
山苍籽,n
山场,n
山城,n
山川,n
山村,n
山丹丹花,n
山道,n
山道口,n
山地,n
山顶,n
山顶洞,n
山东,ns
山东队,nt
山东快书,n
山东省,ns
山洞,n
山耳东村,ns
山峰,n
山盖沟村,ns
山冈,n
山岗,n
山歌,n
山沟,n
山谷,n
山海关,ns
山航,j
山河,n
山洪,n
山洪暴发,l
山红,nr
山呼,v
山花,n
山会,nz
山货,n
山基土,n
山间,s
山涧,n
山脚,n
山脚下,f
山口,n,nr,n]ns
山口光,nr
山里,s
山里人,n
山梁,n
山林,n,nr
山岭,n
山麓,n
山路,n
山峦,n
山脉,n
山猫,n
山妹,n
山门,n
山民,n
山姆大叔,n
山木,n
山南,ns
山南头,n
山南镇,ns
山坪,ns
山坡,n
山坡地,n
山墙,n
山清水秀,i
山穷水尽,i
山丘,n
山区,n,n]ns
山泉,n
山泉萨满,nr
山泉水,n
山色,n
山山,n
山山岭岭,n
山山水水,l
山上,s
山生,nr
山势,n
山水,n
山水画,n
山水田林路,j
山潭,n
山体,n
山头,n
山娃娃,n
山西,ns
山西省,ns
山下,s
山下真澄,nr
山乡,n
山形县,ns
山杏,n
山崖,n
山羊,n
山羊肉,n
山腰,n
山摇地动,l
山药蛋,n
山野,n
山影,n
山岳,nr
山月,nr
山在,nr
山寨,n
山珍,n
山珍海味,i
山尊,nr
山巅,n
山麟,nr
删除,v
删改,vn
删节,v
删去,v
煽动,v
闪,v
闪电,n
闪电式,b
闪动,v
闪光,n
闪光灯,n
闪光点,n
闪亮,v
闪闪,z
闪闪烁烁,z
闪失,v,n
闪烁,v
闪烁生辉,l
闪现,v
闪耀,v
陕,j
陕北,ns
陕长岭Ａ,nz
陕甘宁,j
陕南,ns
陕西,ns
陕西省,ns
擅长,v
擅自,d
膳食,n
善,Ag,Dg,Ng
善本,n
善昌,nr
善待,v
善德,nr
善恶,n
善凤,nr
善记,nr
善举,n
善款,n
善良,a
善民,nr
善男信女,i
善浦,nr
善卿,nr
善棠,nr
善为,v
善文,nr
善衍,nr
善意,n
善因,nr
善于,v
善玉,nr
善战,v
善真,nr
善子,nr
善璧,nr
汕头,ns
汕头市,ns
扇,q
扇动,v
扇状,n
扇子舞,n
墒,Ng
墒情,n
伤,v,n
伤疤,n
伤病,n
伤病员,n
伤残,vn,v
伤残人,n
伤残人员,n
伤风,vn
伤感,an
伤害,v,vn
伤害案,n
伤痕,n
伤口,n
伤脑筋,v
伤其十指不如断其一指,l
伤情,n
伤逝,vn
伤势,n
伤天害理,i
伤痛,n
伤亡,vn,v
伤亡率,n
伤亡者,n
伤愈,v
伤员,n
伤者,n
商,Vg,n,Tg,j,nr
商报,n
商标,n
商标法,n
商场,n,n]ns
商朝,t
商城,n,n]ns
商船,n
商代,t
商德,n
商店,n,n]ns
商定,v
商贩,n
商管委,j]nt
商海,n
商号,n
商会,n]nt,n
商家,n
商检,vn
商检局,n]nt
商交所,j]nt
商界,n
商客居,n
商量,v
商流,j
商洛,ns
商贸,j
商贸城,n
商贸点,n
商贸司,n]nt
商品,n
商品房,n
商品化,v,vn
商品经济,n
商品粮,n
商品流通,l
商品率,n
商品棉,n
商品生产,l
商品性,n
商品猪,n
商铺,n
商丘市,ns
商人,n
商山,n
商社,n
商谈,vn,v
商讨,v,vn
商团,n
商务,n
商务部长,n
商务区,n
商厦,n]ns,n
商学院,n,n]nt
商业,n
商业部,n
商业部长,n
商业城,n
商业点,n
商业化,vn,v
商业街,n
商业界,n
商业局,n]nt,n
商业区,n
商业性,n
商隐,nr
商用,vn,b
商誉,n
商战,n
商周,t
商州,ns
商住,j
商住楼,n
赏,v
赏识,v
赏玩,v
赏析,vn
赏心悦目,i
晌,Tg
上,f,v,j
上岸,v
上百,m
上百万,m
上班,v,vn
上班族,n
上半场,n
上半年,t
上半期,t
上半时,t
上半叶,t
上报,v
上边,f
上宾,n
上蔡县,ns
上策,n
上层,f
上层建筑,l
上柴,nz
上场,v
上车,v,vn
上乘,z
上传下达,l
上次,t
上当,v
上档次,l
上等,b
上帝,n
上调,v
上方,f
上访,v,vn
上访户,n
上访者,n
上风,nz,n
上甘岭,ns
上岗,v,vn
上岗制,n
上港村,ns
上高县,ns
上个月,t
上规模,l
上海,ns
上海队,nt
上海交大,j
上海市,ns
上海站,ns
上好,b
上晃,a,v
上机,v
上级,n
上佳,a
上将,n
上交,v
上交所,j
上缴,v,vn
上街,v
上届,b
上进,a
上进心,n
上镜率,n
上课,v
上空,s
上昆,j
上来,v
上列,b
上楼,v
上路,v,vn
上马,v
上门,v
上面,f
上年,t
上年末,t
上牌,v
上品,n
上期,b
上汽,j
上千,m
上千万,m
上千亿,m
上前,v
上勤,v
上去,v
上饶,ns
上任,v
上山,v
上山下乡,l
上上下下,l
上升,v,vn
上升期,n
上市,v,vn
上市户,n
上收,vn
上书,v
上述,b
上司,n
上诉,v,vn
上诉状,n
上台,v,vn
上天,v
上吐下泻,l
上万,m
上万亿,m
上网,vn,v
上尉,n
上文,n
上午,t
上下,f,n,m
上下班,j
上下级,n
上下齐心,i
上下学,j
上下一心,l
上下议院,j
上下游,j
上限,n
上辛口乡,ns
上心,a
上星期,t
上行,vn
上学,v,vn
上旬,t
上演,v,vn
上扬,v
上阳,nr
上冶镇,ns
上一年,t
上衣,n
上亿,m
上影线,n
上映,v
上游,f
上院,n
上月,t
上涨,v,vn
上涨率,n
上阵,v
上证,j
上证３０,j
上证Ａ股,j
上证Ｂ股,j
上周,t
上周四,t
上桌,v
上座率,n
上沅,nr
上瘾,v
尚,d,nr,Vg
尚德,nr
尚昆,nr
尚立,nr
尚慕杰,nr
尚朋堂,nz
尚且,c
尚全,nr
尚任,nr
尚未,d
尚显,nr
尚义,ns
尚义县,ns
尚谊,nr
尚英,nr
尚志,nr,ns
尚智,nr
梢,Ng
捎,v
捎带,v
稍,d
稍候,v
稍后,d
稍加,d
稍事,d
稍事停留,l
稍微,d
稍逊风骚,l
烧,v
烧饼,n
烧光,v
烧荒,vn,v
烧毁,v
烧结,v
烧烤,v,vn
烧伤,v,vn
烧水,v
烧香,v
烧窑,vn,v
烧制,v,vn
芍药,n
勺,q
韶关,ns
韶山路,ns
韶山型,nz
少,v,a,ad,d,Ng,j
少兵,nr
少波,nr
少不了,l
少部分,m
少存,nr
少东,nr
少儿,n
少妇,n
少功,nr
少鸿,nr
少华,nr
少见,a
少将,n
少阶,nr
少君,nr
少奎,nr
少兰,nr
少量,m
少林,n
少林拳,n
少男少女,l
少年,n
少年儿童,l
少年宫,n]ns
少年老成,i
少女,n
少奇,nr
少桥,nr
少青,nr
少山,nr
少生快富,l
少时,d
少数,m
少数民族,n
少数民族界,n
少松,nr
少腾,nr
少先队员,n
少小,n
少校,n
少英,nr
少颖,nr
少有,a
少于,v
少宇,nr
少云,nr
少者,n
哨,Ng
哨兵,n
哨卡,n
哨所,n
哨音,n
邵,nr
邵阳,ns
邵阳市,ns
绍尔·伯尔穆特,nr
绍华,nr
绍林,nr
绍罗什,nr
绍明,nr
绍强,nr
绍荣,nr
绍武,nr
绍先,nr
绍兴,ns
绍兴酒,n
绍兴县,ns
绍雄,nr
绍延,nr
绍尧,nr
绍芝,nr
绍祖,nr
绍熹,nr
绍铮,nr
奢,Ag
奢侈,an,a
奢侈关,n
奢侈浪费,l
奢侈品,n
奢华,a
奢靡,a
奢糜,a
奢望,vn
